date,query,clicks,impressions,position
"2026-08-13|""龍勢作成中"" 城めぐり アプリ","""龍勢作成中"" 城めぐり アプリ",0,1,11.0
2026-08-13|100 名城,100 名城,0,4,50.0
2026-08-13|100名城,100名城,0,5,13.2
2026-08-13|100名城 チェック リスト,100名城 チェック リスト,0,1,30.0
2026-08-13|shiredo,shiredo,0,1,2.0
2026-08-13|国宝 の 城 一覧,国宝 の 城 一覧,0,1,72.0
2026-08-13|城道,城道,0,3,2.0
2026-08-13|忘れた,忘れた,0,1,1.0
2026-08-13|日本 100 名城,日本 100 名城,0,2,60.5
2026-08-13|日本 の 名城,日本 の 名城,0,2,60.5
2026-08-13|日本 の 国宝 の 城,日本 の 国宝 の 城,0,1,69.0
2026-08-13|日本 城跡,日本 城跡,0,2,80.5
2026-08-13|日本100名城,日本100名城,0,1,14.0
2026-08-13|日本の 有名な城一覧,日本の 有名な城一覧,0,1,45.0
2026-08-13|日本の名城,日本の名城,0,1,63.0
2026-08-13|日本名城百選,日本名城百選,0,1,21.0
2026-08-13|日本百名城,日本百名城,0,1,54.0
2026-08-13|百 城,百 城,0,1,58.0
2026-08-13|百名城,百名城,0,5,8.0
"2026-08-14|""龍勢"" ""作成中"" ""城めぐり"" アプリ","""龍勢"" ""作成中"" ""城めぐり"" アプリ",0,1,10.0
"2026-08-14|""龍勢作成中"" 城めぐり アプリ","""龍勢作成中"" 城めぐり アプリ",0,1,11.0
2026-08-14|100 名城,100 名城,0,3,48.3
2026-08-14|100名城,100名城,0,5,13.2
2026-08-14|100名城 チェック リスト,100名城 チェック リスト,0,1,30.0
2026-08-14|shiredo,shiredo,0,1,2.0
2026-08-14|国宝 の 城 一覧,国宝 の 城 一覧,0,1,72.0
2026-08-14|城 アプリ,城 アプリ,0,1,16.0
2026-08-14|城道,城道,0,3,2.0
2026-08-14|忘れた,忘れた,0,1,1.0
2026-08-14|日本 100 名城,日本 100 名城,0,2,76.0
2026-08-14|日本 の 名城,日本 の 名城,0,2,60.5
2026-08-14|日本 の 国宝 の 城,日本 の 国宝 の 城,0,1,69.0
2026-08-14|日本 名城,日本 名城,0,1,78.0
2026-08-14|日本 名城 100,日本 名城 100,0,1,18.0
2026-08-14|日本 城跡,日本 城跡,0,2,80.5
2026-08-14|日本100名城,日本100名城,0,2,23.5
2026-08-14|日本の 有名な城一覧,日本の 有名な城一覧,0,1,45.0
2026-08-14|日本の名城,日本の名城,0,1,63.0
2026-08-14|日本名城百選,日本名城百選,0,1,21.0
"2026-08-15|""龍勢"" ""作成中"" ""城めぐり"" アプリ","""龍勢"" ""作成中"" ""城めぐり"" アプリ",0,1,10.0
"2026-08-15|""龍勢作成中"" 城めぐり アプリ","""龍勢作成中"" 城めぐり アプリ",0,1,11.0
2026-08-15|100 名城,100 名城,0,3,48.3
2026-08-15|100名城,100名城,0,5,13.2
2026-08-15|100名城 チェック リスト,100名城 チェック リスト,0,1,30.0
2026-08-15|100名城続100名城,100名城続100名城,0,1,73.0
2026-08-15|shiredo,shiredo,0,1,2.0
2026-08-15|国宝 の 城 一覧,国宝 の 城 一覧,0,1,72.0
2026-08-15|城 アプリ,城 アプリ,0,1,16.0
